"descript","count"
"NOT SUPPLIED","2"
"R 0 - 499","62"
"R500 - 999","30"
"R1,000 - 1,999","96"
"R2,000 - 2,999","82"
"R3,000 - 3,999","150"
"R4,000 - 4,999","438"
"R5,000 - 5,999","373"
"R6,000 - 6,999","357"
"R7,000 - 7,999","331"
"R8,000 - 8,999","305"
"R9,000 - 9,999","200"
"R10,000 - 11,999","438"
"R12,000 - 14,999","459"
"R15,000 - 19,999","597"
"R20,000 - 24,999","451"
"R25,000 - 33,999","403"
"R34,000 - 41,999","186"
"R42,000 - 62,999","115"
"R63,000 - 84,999","48"
"R85,000 - 124,999","15"
"R125,000+","6"
