"transaction_year","transaction_month","account_type","cash_flow"
"2021","7","SAVE",2509.4699999999975
"2021","8","SAVE",6884.069999999949
"2021","9","SAVE",107298.51999999993
"2021","10","SAVE",19935.730000000054
"2021","11","SAVE",269742.70000000024
"2021","12","SAVE",26184.890000000043
"2022","1","SAVE",327959.9700000007
"2022","2","SAVE",1508086.1000000117
"2022","3","SAVE",29550.690000000206
"2022","4","SAVE",-37089.39000000054
"2022","5","SAVE",36403.330000000016
"2022","6","SAVE",-126639.29999999944
"2022","7","SAVE",-653547.2899999993
"2022","8","SAVE",-183860.2699999999
